fecha,cantidad_pasos
2019-12-16,110517
2019-12-17,116622
2019-12-18,118531
2019-12-19,117695
2019-12-20,117027
2019-12-21,79741
2019-12-22,64364
2019-12-23,106376
2019-12-24,52954
2019-12-25,53281
2019-12-26,100511
2019-12-27,101501
2019-12-28,60999
2019-12-29,50185
2019-12-30,84043
2019-12-31,43010
